"sample_id"	"TP53"	"TTN"	"FAT1"
TCGA-CV-6954-01A-11D	0	1	0
TCGA-CV-6961-01A-21D	0	1	0
TCGA-CV-7097-01A-11D	0	1	0
TCGA-DQ-5624-01A-01D	0	1	0
TCGA-DQ-5625-01A-01D	0	1	0
TCGA-KU-A6H8-01A-21D	0	1	0
TCGA-MT-A67F-01A-11D	0	1	0
TCGA-CQ-A4CG-01A-11D	0	0	1
TCGA-CR-7382-01A-11D	0	0	1
TCGA-CR-7394-01A-11D	0	0	1
TCGA-CV-6955-01A-11D	0	0	1
TCGA-CV-7183-01A-11D	0	0	1
TCGA-CV-7427-01A-11D	0	0	1
TCGA-CX-7085-01A-21D	0	0	1
TCGA-HD-A4C1-01A-11D	0	0	1
TCGA-HD-A6I0-01A-11D	0	0	1
TCGA-MT-A67A-01A-11D	0	0	1
TCGA-CN-6017-01A-11D	0	0	0
TCGA-CQ-6227-01A-11D	0	0	0
TCGA-CR-6488-01A-12D	0	0	0
TCGA-CR-7367-01A-11D	0	0	0
TCGA-CR-7369-01A-11D	0	0	0
TCGA-CR-7392-01A-11D	0	0	0
TCGA-CV-5971-01A-11D	0	0	0
TCGA-CV-6433-01A-11D	0	0	0
TCGA-CV-6939-01A-11D	0	0	0
TCGA-CV-7100-01A-11D	0	0	0
TCGA-CV-7411-01A-11D	0	0	0
TCGA-CV-7425-01A-11D	0	0	0
TCGA-CV-7429-01A-11D	0	0	0
TCGA-CV-A45T-01A-11D	0	0	0
TCGA-CV-A45V-01A-21D	0	0	0
TCGA-CV-A6JO-01B-11D	0	0	0
TCGA-CV-A6K0-01B-21D	0	0	0
TCGA-D6-A6EN-01A-11D	0	0	0
TCGA-F7-A50J-01A-21D	0	0	0
TCGA-IQ-7631-01A-11D	0	0	0
TCGA-MT-A51X-01A-11D	0	0	0
TCGA-T2-A6WX-01A-12D	0	0	0
TCGA-UP-A6WW-01A-12D	0	0	0
TCGA-WA-A7H4-01A-21D	0	0	0
